"","Car model","Price","Power","Transmission","Wheels-drive","Size","Trunk size","Weight","Top speed","Acceleration","Fuel consumption","Aesthetic value","Brand value","Equipment","Preference value"
"1","Alfa-Romeo 33 Q4",137500,132,"manual","four-wheel",9,290,1070,198,29.5,8,"2","2",44,60.65238
"2","Alfa-Romeo 155 2.0",136900,143,"manual","front",10.9,525,1340,205,30.5,9.8,"3","2",27,61.657142
"3","Alfa-Romeo 155 V6",169900,166,"manual","front",10.9,525,1420,215,30.2,11.5,"3","2",35,59.805298
"4","Alfa-Romeo 155 Q4",194900,190,"manual","four-wheel",10.9,410,1535,225,29.2,12.1,"3","2",35,61.958913
"5","Alfa-Romeo 164 V6",210900,184,"manual","front",11.4,504,1400,230,30.2,11.4,"4","2",57,66.206204
"6","Alfa-Romeo 164 V6 Turbo",231000,205,"manual","front",11.4,504,1500,237,28.1,11.4,"4","2",57,69.122982
"7","Alfa-Romeo 164 V6 24V",248700,210,"manual","front",11.4,504,1500,240,28,11.4,"4","2",57,63.307287
"8","Alfa-Romeo 164 Q4",283000,230,"manual","four-wheel",10.9,410,1680,240,29.1,13.6,"4","2",71,14.639471
"9","Audi 80 2.0 E",142700,115,"manual","front",10.7,430,1230,190,33,9.7,"4","3",28,56.364285
"10","Audi 80 16S",152300,140,"manual","front",10.7,430,1270,201,31,10.5,"4","3",36,61.269047
"11","Audi 80 2.6E",185800,150,"manual","front",10.7,430,1330,212,30.6,11.6,"4","3",49,62.700388
"12","Audi A6 2.0",155900,115,"manual","front",12.2,510,1355,190,33.4,9.8,"4","3",42,59.530952
"13","Audi A6 2.6",186600,150,"manual","front",12.2,510,1440,209,31.3,11.3,"4","3",42,62.620427
"14","Audi A6 2.8",229300,174,"manual","front",12.2,510,1445,219,30,12.3,"4","3",55,58.919819
"15","BMW 316i Pack",144900,102,"manual","rear",10.5,435,1190,191,32.7,9,"4","4",57,65.614285
"16","BMW 318i Pack",155900,116,"manual","rear",10.5,435,1205,198,31.7,9.3,"4","4",51,65.947619
"17","BMW 320i Pack",193000,150,"manual","rear",10.5,435,1315,214,30.5,10,"4","4",62,68.995238
"18","BMW 325i",225300,192,"manual","rear",10.5,435,1330,233,28.1,10.6,"4","4",62,74.257898
"19","BMW 520i",189900,150,"manual","rear",11.6,460,1445,211,30.9,10.6,"4","4",44,68.87619
"20","BMW 525i Worldline",236000,192,"manual","rear",11.6,460,1480,230,28.8,11,"4","4",56,70.317002
